Stations: Seattle Duwamish Vly,
QMUs: Pm2.5 Nephelometer | Barometric Pressure | Light Scatter eco_9003_2 | Nitric Oxide (NO_CAPS) | Nitrogen Dioxide (NO2_CAPS) | NItrogen Oxides (NOx_CAPS) | Pm10 MetOne Bam | Pm2.5 Black Carbon_633 | Pm2.5 MetOne Bam | Pm2.5 Partisol  (daily) | Pm2.5 Partisol  (daily) collocated | Pm2.5 uv Absorbance_633 | Temperature | Visual Range | Wind Direction Sonic | Wind Speed Sonic,
Aggregates: 1-Hour Average,
Query Start Date: 4/28/2026 ,
Query End Date: 5/13/2026,
File Creation Date: 5/13/2026,
NOTE: PSCAA developed aggregates in 2017 using standards applicable at that time,,

Observation Time,Seattle Duwamish Vly - Pm25Neph - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - AmbPres - kPa - 1Hr Avg,Seattle Duwamish Vly - LightScatEc2 - bscat10 e-4 - 1Hr Avg,Seattle Duwamish Vly - NO_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NO2_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - NOx_CAPS - ppb - 1Hr Avg,Seattle Duwamish Vly - Pm10MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25bc - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25MetOneBam - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Pm25uv - ug/m3 - 1Hr Avg,Seattle Duwamish Vly - Temp - degF - 1Hr Avg,Seattle Duwamish Vly - VisualRange - miles - 1Hr Avg,Seattle Duwamish Vly - WD Sonic - deg(frm N) - 1Hr Avg,Seattle Duwamish Vly - WS Sonic - mph - 1Hr Avg
5/7/2026 4:00:00 AM,7.5000000000,1021.0000000000,0.2670000000,0.3010000000,7.0000000000,7.3160000000,23.7000000000,0.3480000000,6.1000000000,0.3900000000,54.0000000000,60.0000000000,195.0000000000,3.5000000000
5/7/2026 5:00:00 AM,8.4000000000,1021.0000000000,0.2970000000,1.9200000000,10.0000000000,11.9970000000,30.4000000000,1.2720000000,7.8000000000,1.3350000000,54.0000000000,56.0000000000,187.0000000000,2.9000000000
5/7/2026 6:00:00 AM,6.3000000000,1021.0000000000,0.2220000000,2.5050000000,6.0000000000,8.5530000000,17.4000000000,0.5370000000,8.8000000000,0.5680000000,55.0000000000,68.0000000000,215.0000000000,3.8000000000
5/7/2026 7:00:00 AM,5.3000000000,1021.0000000000,0.1880000000,1.3990000000,3.4000000000,4.8260000000,19.7000000000,0.4180000000,4.5000000000,0.4430000000,56.0000000000,75.0000000000,188.0000000000,3.6000000000
5/7/2026 8:00:00 AM,5.1000000000,1021.0000000000,0.1820000000,1.8690000000,3.9000000000,5.8050000000,11.2000000000,0.4270000000,4.2000000000,0.4470000000,58.0000000000,76.0000000000,199.0000000000,3.3000000000
5/7/2026 9:00:00 AM,4.7000000000,1021.0000000000,0.1640000000,1.4100000000,4.4000000000,5.8180000000,16.2000000000,0.3170000000,5.1000000000,0.3390000000,59.0000000000,81.0000000000,250.0000000000,2.7000000000
5/7/2026 10:00:00 AM,4.2000000000,1021.0000000000,0.1480000000,0.7220000000,3.0000000000,3.8190000000,10.0000000000,0.1550000000,3.5000000000,0.1700000000,60.0000000000,86.0000000000,271.0000000000,2.3000000000
5/7/2026 11:00:00 AM,4.3000000000,1020.0000000000,0.1530000000,1.4510000000,3.8000000000,5.2800000000,10.9000000000,0.3330000000,5.7000000000,0.3660000000,63.0000000000,84.0000000000,260.0000000000,3.0000000000
5/7/2026 12:00:00 PM,4.2000000000,1020.0000000000,0.1500000000,1.7850000000,5.0000000000,6.8260000000,11.9000000000,0.3030000000,6.6000000000,0.3450000000,64.0000000000,85.0000000000,289.0000000000,3.5000000000
5/7/2026 1:00:00 PM,3.7000000000,1019.0000000000,0.1290000000,2.1790000000,3.7000000000,5.9580000000,8.1000000000,0.2240000000,4.4000000000,0.2580000000,66.0000000000,92.0000000000,314.0000000000,4.0000000000
5/7/2026 2:00:00 PM,4.0000000000,1019.0000000000,0.1400000000,0.9970000000,3.5000000000,4.5850000000,10.1000000000,0.2550000000,3.5000000000,0.3030000000,66.0000000000,88.0000000000,293.0000000000,3.5000000000
5/7/2026 3:00:00 PM,4.5000000000,1018.0000000000,0.1590000000,1.3460000000,4.8000000000,6.2260000000,9.9000000000,0.3270000000,3.1000000000,0.3740000000,67.0000000000,83.0000000000,319.0000000000,3.3000000000
5/7/2026 4:00:00 PM,4.5000000000,1018.0000000000,0.1600000000,1.2410000000,3.9000000000,5.2010000000,19.9000000000,0.2520000000,5.5000000000,0.3010000000,67.0000000000,83.0000000000,355.0000000000,2.9000000000
5/7/2026 5:00:00 PM,4.3000000000,1018.0000000000,0.1520000000,1.4030000000,6.4000000000,7.8180000000,8.6000000000,0.3210000000,4.8000000000,0.3710000000,67.0000000000,84.0000000000,326.0000000000,2.9000000000
5/7/2026 6:00:00 PM,4.2000000000,,0.1480000000,0.4090000000,4.3000000000,4.7680000000,10.6000000000,0.2340000000,,0.2880000000,,86.0000000000,279.0000000000,1.8000000000
5/7/2026 7:00:00 PM,4.5000000000,,0.1590000000,0.9300000000,7.6000000000,8.5510000000,11.3000000000,0.3280000000,,0.4000000000,,82.0000000000,273.0000000000,1.1000000000
